,Metrics,Mean,Median,Standard Deviation,Minimum,Maximum
25,prp_ttr,0.17834156072616342,0.166666666667,0.08080860226063641,0.042735042735,0.6
26,argument_ttr,0.4346036200971611,0.433962264151,0.08860328031927442,0.215189873418,0.75
27,bigram_lemma_ttr,0.8375877744274869,0.8447284852335,0.055928370311636874,0.554487179487,0.951219512195
28,trigram_lemma_ttr,0.9462434859066259,0.9570990359335,0.03965800947255242,0.696652719665,1.0
29,adjacent_overlap_all_sent,0.2121346424381439,0.21003090859450002,0.04376516350329979,0.0769230769231,0.389978213508
30,adjacent_overlap_all_sent_div_seg,2.941450918692438,2.8123167155399997,1.0416687920899257,0.538461538462,7.0625
31,adjacent_overlap_binary_all_sent,0.8459851103381888,0.863636363636,0.10373353747909156,0.367346938776,1.0
32,adjacent_overlap_2_all_sent,0.3144112245582538,0.311640511754,0.05096577980010433,0.134502923977,0.553359683794
33,adjacent_overlap_2_all_sent_div_seg,4.325298111736722,4.13714733542,1.3786502644894185,0.92,9.0
34,adjacent_overlap_binary_2_all_sent,0.9253696115216072,0.939393939394,0.06671020509206715,0.6,1.0
35,adjacent_overlap_cw_sent,0.112610586566781,0.1085309973045,0.04467773315732796,0.00699300699301,0.313253012048
36,adjacent_overlap_cw_sent_div_seg,0.865801209618828,0.7936105476674999,0.47045702267797246,0.0285714285714,3.0625
37,adjacent_overlap_binary_cw_sent,0.4760876804985733,0.473684210526,0.17528050221985628,0.0285714285714,1.0
38,adjacent_overlap_2_cw_sent,0.17792324019534744,0.17429289276350002,0.05951167872654452,0.0418604651163,0.495798319328
39,adjacent_overlap_2_cw_sent_div_seg,1.3549024879303824,1.3,0.6573918343804667,0.173913043478,3.9
40,adjacent_overlap_binary_2_cw_sent,0.6266885863310782,0.64,0.17211750460713526,0.117647058824,1.0
41,adjacent_overlap_fw_sent,0.30326987562079877,0.3,0.06094570795094711,0.1,0.560165975104
42,adjacent_overlap_fw_sent_div_seg,1.962850230718892,1.86811594203,0.6739846786422115,0.384615384615,5.19230769231
43,adjacent_overlap_binary_fw_sent,0.7949656910170567,0.807692307692,0.12281472966976636,0.346153846154,1.0
44,adjacent_overlap_2_fw_sent,0.4451434494690671,0.4414999414995,0.06636487668963642,0.173913043478,0.684210526316
45,adjacent_overlap_2_fw_sent_div_seg,2.858689209183946,2.7171428571450003,0.8671872364908575,0.64,6.24
46,adjacent_overlap_binary_2_fw_sent,0.8944726272712925,0.904761904762,0.0803432597524992,0.44,1.0
47,adjacent_overlap_noun_sent,0.1298765210969039,0.123076923077,0.06536114504729658,0.0,0.4375
48,adjacent_overlap_noun_sent_div_seg,0.4288562141524075,0.3675438596495,0.2940930476077542,0.0,1.7619047619
49,adjacent_overlap_binary_noun_sent,0.31268959078560027,0.289473684211,0.17638299252855816,0.0,0.866666666667
50,adjacent_overlap_2_noun_sent,0.20021296084508963,0.19512195122,0.08745123242289325,0.0185185185185,0.652173913043
