worker_id,prompt_code,writing_type,Cluster
A1WKF2VH7TV0H2,reincarnation,creative,"0,2"
A1WKF2VH7TV0H2,sideeffect,creative,"0,2"
A1WKF2VH7TV0H2,bee,creative,"0,2"
A1WKF2VH7TV0H2,shapeshifter,creative,"0,2"
A23EWFNNOUS10B,reincarnation,creative,"0,2"
A23EWFNNOUS10B,mattdamon,creative,"0,2"
A23EWFNNOUS10B,obama,creative,"0,2"
A23EWFNNOUS10B,isolation,creative,"0,2"
A23EWFNNOUS10B,sideeffect,creative,"0,2"
A23EWFNNOUS10B,pig,creative,"0,2"
A23EWFNNOUS10B,shapeshifter,creative,"0,2"
A23EWFNNOUS10B,bee,creative,"0,2"
A23KAJRDVCVGOE,audiobook,argumentative,0
A23KAJRDVCVGOE,animal,argumentative,0
A23KAJRDVCVGOE,pads,argumentative,0
A2EED3HLTA96CP,screen,argumentative,"0,1"
A2EED3HLTA96CP,dating,argumentative,"0,1"
A2EED3HLTA96CP,stereotype,argumentative,"0,1"
A2EED3HLTA96CP,pads,argumentative,"0,1"
A2EED3HLTA96CP,school,argumentative,"0,1"
A2EED3HLTA96CP,athletes,argumentative,"0,1"
A2EED3HLTA96CP,animal,argumentative,"0,1"
A2EED3HLTA96CP,news,argumentative,"0,1"
A2EED3HLTA96CP,audiobook,argumentative,"0,1"
A2EED3HLTA96CP,extremesports,argumentative,"0,1"
A2ONILC0LZKG6Y,extremesports,argumentative,0
A2ONILC0LZKG6Y,stereotype,argumentative,0
A2ONILC0LZKG6Y,screen,argumentative,0
A2ONILC0LZKG6Y,news,argumentative,0
A2ONILC0LZKG6Y,athletes,argumentative,0
A2OVOVZBJYUO,dating,argumentative,0
A2OVOVZBJYUO,school,argumentative,0
A2QKAA5YS0P4CI,extremesports,argumentative,0
A2QKAA5YS0P4CI,dating,argumentative,0
A2QKAA5YS0P4CI,shapeshifter,creative,"0,1"
A2QKAA5YS0P4CI,mana,creative,"0,1"
A2QKAA5YS0P4CI,sideeffect,creative,"0,1"
A2QX3YJXAAHHVV,stereotype,argumentative,"0,1"
A2QX3YJXAAHHVV,dating,argumentative,"0,1"
A2QX3YJXAAHHVV,school,argumentative,"0,1"
A2QX3YJXAAHHVV,pads,argumentative,"0,1"
A2QX3YJXAAHHVV,screen,argumentative,"0,1"
A2QX3YJXAAHHVV,animal,argumentative,"0,1"
A2QX3YJXAAHHVV,news,argumentative,"0,1"
A2QX3YJXAAHHVV,audiobook,argumentative,"0,1"
A2QX3YJXAAHHVV,athletes,argumentative,"0,1"
A2QX3YJXAAHHVV,extremesports,argumentative,"0,1"
A2RUHO7I7Y4XFA,mana,creative,"0,2"
A2RUHO7I7Y4XFA,pig,creative,"0,2"
A2RUHO7I7Y4XFA,shapeshifter,creative,"0,2"
A2RUHO7I7Y4XFA,obama,creative,"0,2"
A2RUHO7I7Y4XFA,mattdamon,creative,"0,2"
A2RUHO7I7Y4XFA,reincarnation,creative,"0,2"
A2RUHO7I7Y4XFA,dad,creative,"0,2"
A2RUHO7I7Y4XFA,sideeffect,creative,"0,2"
A2W121DQXNQK1,school,argumentative,"0,2"
A2W121DQXNQK1,athletes,argumentative,"0,2"
A2W121DQXNQK1,audiobook,argumentative,"0,2"
A2W121DQXNQK1,extremesports,argumentative,"0,2"
A2W121DQXNQK1,screen,argumentative,"0,2"
A2W121DQXNQK1,pads,argumentative,"0,2"
A2W121DQXNQK1,animal,argumentative,"0,2"
A2W121DQXNQK1,dating,argumentative,"0,2"
A2W121DQXNQK1,stereotype,argumentative,"0,2"
A2W121DQXNQK1,news,argumentative,"0,2"
A2WGW5Y3ZFBDEC,screen,argumentative,"0,1"
A2WGW5Y3ZFBDEC,pads,argumentative,"0,1"
A2WGW5Y3ZFBDEC,school,argumentative,"0,1"
A2WGW5Y3ZFBDEC,dating,argumentative,"0,1"
A2WGW5Y3ZFBDEC,stereotype,argumentative,"0,1"
A2WGW5Y3ZFBDEC,news,argumentative,"0,1"
A2WGW5Y3ZFBDEC,animal,argumentative,"0,1"
A2WGW5Y3ZFBDEC,extremesports,argumentative,"0,1"
A2WGW5Y3ZFBDEC,athletes,argumentative,"0,1"
A2WGW5Y3ZFBDEC,audiobook,argumentative,"0,1"
A2YTQDLACTLIBA,pads,argumentative,"0,2"
A2YTQDLACTLIBA,stereotype,argumentative,"0,2"
A2YTQDLACTLIBA,screen,argumentative,"0,2"
A2YTQDLACTLIBA,school,argumentative,"0,2"
A2YTQDLACTLIBA,audiobook,argumentative,"0,2"
A2YTQDLACTLIBA,news,argumentative,"0,2"
A2YTQDLACTLIBA,extremesports,argumentative,"0,2"
A2YTQDLACTLIBA,animal,argumentative,"0,2"
A2YTQDLACTLIBA,athletes,argumentative,"0,2"
A2YTQDLACTLIBA,shapeshifter,creative,"0,2"
A2YTQDLACTLIBA,reincarnation,creative,"0,2"
A2YTQDLACTLIBA,pig,creative,"0,2"
A2YTQDLACTLIBA,mattdamon,creative,"0,2"
A2YTQDLACTLIBA,obama,creative,"0,2"
A2YTQDLACTLIBA,dad,creative,"0,2"
A2YTQDLACTLIBA,bee,creative,"0,2"
A324VBRLXHG5IB,athletes,argumentative,0
A324VBRLXHG5IB,news,argumentative,0
A324VBRLXHG5IB,stereotype,argumentative,0
A324VBRLXHG5IB,pig,creative,"0,2"
A324VBRLXHG5IB,mattdamon,creative,"0,2"
A324VBRLXHG5IB,bee,creative,"0,2"
A324VBRLXHG5IB,obama,creative,"0,2"
A324VBRLXHG5IB,isolation,creative,"0,2"
A324VBRLXHG5IB,reincarnation,creative,"0,2"
A324VBRLXHG5IB,dad,creative,"0,2"
A324VBRLXHG5IB,sideeffect,creative,"0,2"
A324VBRLXHG5IB,mana,creative,"0,2"
A345TDMHP3DQ3G,dating,argumentative,1
A345TDMHP3DQ3G,pads,argumentative,1
A345TDMHP3DQ3G,news,argumentative,1
A345TDMHP3DQ3G,extremesports,argumentative,1
A345TDMHP3DQ3G,athletes,argumentative,1
A345TDMHP3DQ3G,school,argumentative,1
A345TDMHP3DQ3G,stereotype,argumentative,1
A345TDMHP3DQ3G,screen,argumentative,1
A345TDMHP3DQ3G,audiobook,argumentative,1
A377LTGWJKY2IW,stereotype,argumentative,"0,2"
A377LTGWJKY2IW,school,argumentative,"0,2"
A3DS5B06ZCD3E3,pads,argumentative,"0,2"
A3DS5B06ZCD3E3,audiobook,argumentative,"0,2"
A3DS5B06ZCD3E3,pig,creative,"0,2"
A3DS5B06ZCD3E3,reincarnation,creative,"0,2"
A3DS5B06ZCD3E3,isolation,creative,"0,2"
A3DS5B06ZCD3E3,dad,creative,"0,2"
A3DS5B06ZCD3E3,sideeffect,creative,"0,2"
A3DS5B06ZCD3E3,mana,creative,"0,2"
A3DS5B06ZCD3E3,mattdamon,creative,"0,2"
A3DUPRZSMU9W5R,pads,argumentative,"0,2"
A3DUPRZSMU9W5R,stereotype,argumentative,"0,2"
A3DUPRZSMU9W5R,screen,argumentative,"0,2"
A3DUPRZSMU9W5R,school,argumentative,"0,2"
A3DUPRZSMU9W5R,news,argumentative,"0,2"
A3DUPRZSMU9W5R,athletes,argumentative,"0,2"
A3DUPRZSMU9W5R,extremesports,argumentative,"0,2"
A3MYPYBVHX7FQ2,dating,argumentative,"0,2"
A3MYPYBVHX7FQ2,screen,argumentative,"0,2"
A3MYPYBVHX7FQ2,pads,argumentative,"0,2"
A3MYPYBVHX7FQ2,stereotype,argumentative,"0,2"
A3MYPYBVHX7FQ2,school,argumentative,"0,2"
A3MYPYBVHX7FQ2,news,argumentative,"0,2"
A3MYPYBVHX7FQ2,extremesports,argumentative,"0,2"
A3MYPYBVHX7FQ2,reincarnation,creative,"0,2"
A3MYPYBVHX7FQ2,dad,creative,"0,2"
A3MYPYBVHX7FQ2,pig,creative,"0,2"
A3MYPYBVHX7FQ2,isolation,creative,"0,2"
A3MYPYBVHX7FQ2,sideeffect,creative,"0,2"
A3MYPYBVHX7FQ2,mattdamon,creative,"0,2"
A3MYPYBVHX7FQ2,bee,creative,"0,2"
A3MYPYBVHX7FQ2,obama,creative,"0,2"
A3MYPYBVHX7FQ2,mana,creative,"0,2"
A3MYPYBVHX7FQ2,shapeshifter,creative,"0,2"
A3O5RKGH6VB19C,dating,argumentative,2
A3O5RKGH6VB19C,stereotype,argumentative,2
A3O5RKGH6VB19C,screen,argumentative,2
A3O5RKGH6VB19C,school,argumentative,2
A3O5RKGH6VB19C,pads,argumentative,2
A3O5RKGH6VB19C,extremesports,argumentative,2
A3O5RKGH6VB19C,audiobook,argumentative,2
A3O5RKGH6VB19C,news,argumentative,2
A3O5RKGH6VB19C,athletes,argumentative,2
A3O5RKGH6VB19C,animal,argumentative,2
A3OLRWACCCCUTU,audiobook,argumentative,0
A3OLRWACCCCUTU,mana,creative,"0,2"
A3OLRWACCCCUTU,isolation,creative,"0,2"
A3OLRWACCCCUTU,pig,creative,"0,2"
A3OLRWACCCCUTU,shapeshifter,creative,"0,2"
A3OLRWACCCCUTU,dad,creative,"0,2"
A3OLRWACCCCUTU,reincarnation,creative,"0,2"
A3OLRWACCCCUTU,obama,creative,"0,2"
A3OLRWACCCCUTU,mattdamon,creative,"0,2"
A3P9TM5PRYBH90,animal,argumentative,0
A3P9TM5PRYBH90,athletes,argumentative,0
A3P9TM5PRYBH90,audiobook,argumentative,0
A3P9TM5PRYBH90,news,argumentative,0
A3P9TM5PRYBH90,screen,argumentative,0
A3P9TM5PRYBH90,sideeffect,creative,"0,2"
A3P9TM5PRYBH90,mana,creative,"0,2"
A3P9TM5PRYBH90,shapeshifter,creative,"0,2"
A3P9TM5PRYBH90,pig,creative,"0,2"
A3P9TM5PRYBH90,bee,creative,"0,2"
A3P9TM5PRYBH90,isolation,creative,"0,2"
A3P9TM5PRYBH90,reincarnation,creative,"0,2"
A3P9TM5PRYBH90,obama,creative,"0,2"
A3S67QA0SQVPUJ,extremesports,argumentative,"0,2"
A3S67QA0SQVPUJ,stereotype,argumentative,"0,2"
A3S67QA0SQVPUJ,animal,argumentative,"0,2"
A3S67QA0SQVPUJ,pads,argumentative,"0,2"
A3S67QA0SQVPUJ,audiobook,argumentative,"0,2"
A3S67QA0SQVPUJ,athletes,argumentative,"0,2"
A3S67QA0SQVPUJ,school,argumentative,"0,2"
A3S67QA0SQVPUJ,dating,argumentative,"0,2"
