worker_id,prompt_code,writing_type,Total number of sentences,Number of sentences of initial prompt,Number of sentences completely authored by the user,Number of sentences completely authored by GPT-3,Number of sentences authored by GPT-3 and user,Total number of GPT-3 calls made,Number of times GPT-3 suggestion is used,Number of times user rejected GPT-3 suggestion,Number of times GPT-3 suggestion is modified,Number of times GPT-3 suggestion is used as is,GPT-3 : Total Sentences,User : Total Sentences,Amount of GPT-3 Usage,Type Token Ratio,Cluster
A1QUQ0TV9KVD4C,school,argumentative,19,6,4,1,8,14,10,4,0,10,0.0526315789473684,0.2105263157894736,0.4736842105263157,0.5373134328358209,0
A1PTH9KTRO06EG,dating,argumentative,35,9,26,0,0,2,0,2,0,0,0.0,0.7428571428571429,0.0,0.4490500863557858,2
A1QUQ0TV9KVD4C,pads,argumentative,21,7,6,1,7,18,10,8,1,9,0.0476190476190476,0.2857142857142857,0.3809523809523809,0.42,0
A1QUQ0TV9KVD4C,pads,argumentative,25,7,6,1,11,24,14,10,0,14,0.04,0.24,0.48,0.4573170731707317,1
A1QUQ0TV9KVD4C,stereotype,argumentative,16,4,4,0,8,21,9,12,0,9,0.0,0.25,0.5,0.631578947368421,0
A1QUQ0TV9KVD4C,school,argumentative,17,6,7,0,4,13,6,7,0,6,0.0,0.4117647058823529,0.2352941176470588,0.5310077519379846,0
A1QUQ0TV9KVD4C,stereotype,argumentative,15,4,2,0,9,16,10,6,0,10,0.0,0.1333333333333333,0.6,0.5787401574803149,0
ASVRLMDNQBUD9,school,argumentative,21,6,11,0,4,7,5,2,1,4,0.0,0.5238095238095238,0.1904761904761904,0.4942196531791907,0
A1QUQ0TV9KVD4C,stereotype,argumentative,19,4,5,1,9,17,15,2,1,14,0.0526315789473684,0.2631578947368421,0.5263157894736842,0.5986394557823129,0
A1QUQ0TV9KVD4C,school,argumentative,26,6,6,1,13,26,15,11,0,15,0.0384615384615384,0.2307692307692307,0.5384615384615384,0.4458204334365325,1
A3MYPYBVHX7FQ2,pads,argumentative,21,7,11,0,3,4,3,1,0,3,0.0,0.5238095238095238,0.1428571428571428,0.547945205479452,0
A1WKF2VH7TV0H2,pads,argumentative,22,7,13,0,2,5,2,3,0,2,0.0,0.5909090909090909,0.0909090909090909,0.54375,0
ASVRLMDNQBUD9,dating,argumentative,29,9,16,0,4,5,4,1,0,4,0.0,0.5517241379310345,0.1379310344827586,0.5142045454545454,0
A3MYPYBVHX7FQ2,screen,argumentative,34,6,18,0,10,10,10,0,0,10,0.0,0.5294117647058824,0.2941176470588235,0.4224,2
A3MYPYBVHX7FQ2,stereotype,argumentative,29,4,18,0,7,12,7,5,0,7,0.0,0.6206896551724138,0.2413793103448276,0.4925053533190578,2
A3MYPYBVHX7FQ2,pads,argumentative,22,7,12,0,3,8,3,5,1,2,0.0,0.5454545454545454,0.1363636363636363,0.5129682997118156,0
A2YTQDLACTLIBA,pads,argumentative,21,7,13,0,1,4,1,3,1,0,0.0,0.6190476190476191,0.0476190476190476,0.5753846153846154,0
A2YTQDLACTLIBA,stereotype,argumentative,18,4,13,0,1,2,1,1,0,1,0.0,0.7222222222222222,0.0555555555555555,0.5753012048192772,2
A2YTQDLACTLIBA,screen,argumentative,24,6,16,0,2,4,2,2,1,1,0.0,0.6666666666666666,0.0833333333333333,0.574585635359116,0
A3O5RKGH6VB19C,stereotype,argumentative,33,4,28,0,1,1,1,0,0,1,0.0,0.8484848484848485,0.0303030303030303,0.4766839378238341,2
A3MYPYBVHX7FQ2,school,argumentative,29,6,18,1,4,6,5,1,0,5,0.0344827586206896,0.6206896551724138,0.1724137931034483,0.4807692307692308,2
A2EED3HLTA96CP,dating,argumentative,36,9,20,0,7,9,7,2,4,3,0.0,0.5555555555555556,0.1944444444444444,0.5178571428571429,0
A2EED3HLTA96CP,pads,argumentative,20,7,7,0,6,8,6,2,4,2,0.0,0.35,0.3,0.5391849529780565,0
A3DUPRZSMU9W5R,screen,argumentative,27,6,17,0,4,9,5,4,1,4,0.0,0.6296296296296297,0.1481481481481481,0.4934086629001883,0
A2EED3HLTA96CP,stereotype,argumentative,23,4,13,0,6,10,6,4,4,2,0.0,0.5652173913043478,0.2608695652173913,0.617816091954023,0
A3DUPRZSMU9W5R,school,argumentative,27,6,19,0,2,6,2,4,0,2,0.0,0.7037037037037037,0.074074074074074,0.4858223062381852,2
A2EED3HLTA96CP,school,argumentative,27,6,16,1,4,9,5,4,3,2,0.037037037037037,0.5925925925925926,0.1851851851851851,0.6016042780748663,0
A2EED3HLTA96CP,school,argumentative,28,6,13,2,7,11,9,2,3,6,0.0714285714285714,0.4642857142857143,0.3214285714285714,0.5052631578947369,0
A2EED3HLTA96CP,dating,argumentative,20,9,6,0,5,9,6,3,3,3,0.0,0.3,0.25,0.543661971830986,0
A2EED3HLTA96CP,school,argumentative,19,6,8,0,5,7,5,2,1,4,0.0,0.4210526315789473,0.2631578947368421,0.5081521739130435,0
A2EED3HLTA96CP,school,argumentative,18,6,10,0,2,10,2,8,1,1,0.0,0.5555555555555556,0.1111111111111111,0.5031847133757962,0
A3MYPYBVHX7FQ2,stereotype,argumentative,30,4,21,0,5,8,5,3,0,5,0.0,0.7,0.1666666666666666,0.4508196721311475,2
A3MYPYBVHX7FQ2,dating,argumentative,34,9,18,0,7,9,7,2,1,6,0.0,0.5294117647058824,0.2058823529411764,0.4718693284936479,0
A2YTQDLACTLIBA,school,argumentative,29,6,14,0,9,9,9,0,5,4,0.0,0.4827586206896552,0.3103448275862069,0.5584045584045584,0
APRZ7BR8C0ZMQ,screen,argumentative,46,6,37,0,3,5,3,2,0,3,0.0,0.8043478260869565,0.0652173913043478,0.4989733059548255,2
A1PTH9KTRO06EG,stereotype,argumentative,23,4,19,0,0,2,0,2,0,0,0.0,0.8260869565217391,0.0,0.4190871369294606,2
A2WGW5Y3ZFBDEC,screen,argumentative,24,6,4,1,13,21,19,2,1,18,0.0416666666666666,0.1666666666666666,0.5833333333333334,0.4317718940936864,1
A2WGW5Y3ZFBDEC,pads,argumentative,22,7,5,1,9,22,17,5,1,16,0.0454545454545454,0.2272727272727272,0.4545454545454545,0.4473007712082262,1
A2WGW5Y3ZFBDEC,school,argumentative,21,6,1,1,13,25,19,6,0,19,0.0476190476190476,0.0476190476190476,0.6666666666666666,0.5373831775700935,1
A2WGW5Y3ZFBDEC,dating,argumentative,33,9,0,0,24,35,29,6,0,29,0.0,0.0,0.7272727272727273,0.4479830148619957,1
A2WGW5Y3ZFBDEC,stereotype,argumentative,19,4,4,1,10,23,19,4,0,19,0.0526315789473684,0.2105263157894736,0.5789473684210527,0.5696517412935324,1
A3O5RKGH6VB19C,stereotype,argumentative,22,4,17,0,1,2,1,1,0,1,0.0,0.7727272727272727,0.0454545454545454,0.5079365079365079,2
A3O5RKGH6VB19C,school,argumentative,24,6,18,0,0,0,0,0,0,0,0.0,0.75,0.0,0.5,2
A3O5RKGH6VB19C,pads,argumentative,24,7,17,0,0,0,0,0,0,0,0.0,0.7083333333333334,0.0,0.4688279301745636,2
A3O5RKGH6VB19C,pads,argumentative,26,7,19,0,0,1,0,1,0,0,0.0,0.7307692307692307,0.0,0.4902912621359223,2
A3O5RKGH6VB19C,pads,argumentative,24,7,17,0,0,0,0,0,0,0,0.0,0.7083333333333334,0.0,0.5167173252279635,2
A2QX3YJXAAHHVV,stereotype,argumentative,26,4,6,0,16,29,17,12,7,10,0.0,0.2307692307692307,0.6153846153846154,0.4025316455696202,1
A1E235KE3CSO7H,pads,argumentative,22,7,13,0,2,5,2,3,1,1,0.0,0.5909090909090909,0.0909090909090909,0.5742971887550201,0
A2QX3YJXAAHHVV,dating,argumentative,28,9,7,1,11,22,12,10,3,9,0.0357142857142857,0.25,0.4285714285714285,0.4405797101449275,0
A2QX3YJXAAHHVV,dating,argumentative,30,9,4,0,17,23,20,3,8,12,0.0,0.1333333333333333,0.5666666666666667,0.5428571428571428,1
A1E235KE3CSO7H,dating,argumentative,30,9,20,0,1,3,1,2,0,1,0.0,0.6666666666666666,0.0333333333333333,0.5549132947976878,2
A2QX3YJXAAHHVV,school,argumentative,31,6,12,0,13,22,14,8,6,8,0.0,0.3870967741935484,0.4193548387096774,0.4292682926829268,1
A2QX3YJXAAHHVV,dating,argumentative,37,9,5,1,22,29,28,1,9,19,0.027027027027027,0.1351351351351351,0.6216216216216216,0.5030800821355236,1
A2QX3YJXAAHHVV,pads,argumentative,24,7,9,0,8,14,9,5,1,8,0.0,0.375,0.3333333333333333,0.4788273615635179,0
A2QX3YJXAAHHVV,screen,argumentative,28,6,12,0,10,18,12,6,9,3,0.0,0.4285714285714285,0.3571428571428571,0.5134408602150538,0
A2QX3YJXAAHHVV,dating,argumentative,34,9,9,1,15,25,16,9,4,12,0.0294117647058823,0.2647058823529412,0.4705882352941176,0.5633802816901409,1
A2QX3YJXAAHHVV,pads,argumentative,20,7,9,0,4,12,4,8,2,2,0.0,0.45,0.2,0.5273972602739726,0
A1VZSFHTU51JP0,screen,argumentative,31,6,22,0,3,4,3,1,3,0,0.0,0.7096774193548387,0.0967741935483871,0.508274231678487,2
A1VZSFHTU51JP0,pads,argumentative,25,7,17,0,1,5,1,4,1,0,0.0,0.68,0.04,0.5286103542234333,2
A3O5RKGH6VB19C,pads,argumentative,25,7,18,0,0,0,0,0,0,0,0.0,0.72,0.0,0.4811827956989247,2
A3O5RKGH6VB19C,screen,argumentative,31,6,25,0,0,0,0,0,0,0,0.0,0.8064516129032258,0.0,0.5298507462686567,2
A3O5RKGH6VB19C,dating,argumentative,34,9,25,0,0,0,0,0,0,0,0.0,0.7352941176470589,0.0,0.4377510040160642,2
A3O5RKGH6VB19C,stereotype,argumentative,29,4,25,0,0,0,0,0,0,0,0.0,0.8620689655172413,0.0,0.4824797843665768,2
A3O5RKGH6VB19C,screen,argumentative,27,6,21,0,0,0,0,0,0,0,0.0,0.7777777777777778,0.0,0.5130023640661938,2
A1VZSFHTU51JP0,school,argumentative,27,6,20,0,1,3,1,2,1,0,0.0,0.7407407407407407,0.037037037037037,0.4502487562189055,2
A3O5RKGH6VB19C,school,argumentative,35,6,29,0,0,0,0,0,0,0,0.0,0.8285714285714286,0.0,0.4877049180327868,2
A3O5RKGH6VB19C,dating,argumentative,28,9,18,0,1,1,1,0,0,1,0.0,0.6428571428571429,0.0357142857142857,0.5059665871121718,2
A1VZSFHTU51JP0,stereotype,argumentative,25,4,18,0,3,4,3,1,2,1,0.0,0.72,0.12,0.5126760563380282,2
A3O5RKGH6VB19C,school,argumentative,28,6,21,0,1,1,1,0,0,1,0.0,0.75,0.0357142857142857,0.4626865671641791,2
A2WGW5Y3ZFBDEC,dating,argumentative,26,9,1,0,16,22,20,2,0,20,0.0,0.0384615384615384,0.6153846153846154,0.4555765595463138,1
A3O5RKGH6VB19C,pads,argumentative,26,7,19,0,0,0,0,0,0,0,0.0,0.7307692307692307,0.0,0.4693877551020408,2
A2QX3YJXAAHHVV,school,argumentative,19,6,4,0,9,11,9,2,2,7,0.0,0.2105263157894736,0.4736842105263157,0.506426735218509,0
A2QX3YJXAAHHVV,stereotype,argumentative,20,4,1,0,15,25,19,6,9,10,0.0,0.05,0.75,0.5529100529100529,1
A2QX3YJXAAHHVV,stereotype,argumentative,18,4,9,0,5,14,6,8,2,4,0.0,0.5,0.2777777777777778,0.5719557195571956,0
A2QX3YJXAAHHVV,stereotype,argumentative,24,4,8,1,11,22,15,7,4,11,0.0416666666666666,0.3333333333333333,0.5,0.4897360703812317,1
A2QX3YJXAAHHVV,dating,argumentative,25,9,14,1,1,8,2,6,1,1,0.04,0.56,0.08,0.5853658536585366,0
A2QX3YJXAAHHVV,pads,argumentative,16,7,8,0,1,7,2,5,0,2,0.0,0.5,0.0625,0.575187969924812,0
A2QX3YJXAAHHVV,screen,argumentative,31,6,11,3,11,21,16,5,4,12,0.0967741935483871,0.3548387096774194,0.4516129032258064,0.5190476190476191,1
A2QX3YJXAAHHVV,screen,argumentative,30,6,1,1,22,32,26,6,5,21,0.0333333333333333,0.0333333333333333,0.7666666666666667,0.4597069597069597,1
A2QX3YJXAAHHVV,school,argumentative,26,6,13,3,4,21,9,12,1,8,0.1153846153846153,0.5,0.2692307692307692,0.4558404558404558,0
A2QX3YJXAAHHVV,screen,argumentative,21,6,9,0,6,15,6,9,4,2,0.0,0.4285714285714285,0.2857142857142857,0.4985754985754986,0
A2QX3YJXAAHHVV,stereotype,argumentative,24,4,1,3,16,39,23,16,8,15,0.125,0.0416666666666666,0.7916666666666666,0.5447368421052632,1
A2QX3YJXAAHHVV,school,argumentative,36,6,10,2,18,28,21,7,2,19,0.0555555555555555,0.2777777777777778,0.5555555555555556,0.3507751937984496,1
A3O5RKGH6VB19C,extremesports,argumentative,31,5,26,0,0,0,0,0,0,0,0.0,0.8387096774193549,0.0,0.4916201117318435,2
A3O5RKGH6VB19C,audiobook,argumentative,30,7,23,0,0,0,0,0,0,0,0.0,0.7666666666666667,0.0,0.4809160305343511,2
A2YTQDLACTLIBA,audiobook,argumentative,24,7,13,0,4,7,4,3,1,3,0.0,0.5416666666666666,0.1666666666666666,0.6052631578947368,0
A1VZSFHTU51JP0,audiobook,argumentative,32,7,20,0,5,7,5,2,1,4,0.0,0.625,0.15625,0.4008810572687225,2
A2EED3HLTA96CP,athletes,argumentative,27,9,10,2,6,12,8,4,1,7,0.074074074074074,0.3703703703703703,0.2962962962962963,0.5296610169491526,0
A2EED3HLTA96CP,animal,argumentative,22,7,10,1,4,13,5,8,2,3,0.0454545454545454,0.4545454545454545,0.2272727272727272,0.5087719298245614,0
APRZ7BR8C0ZMQ,news,argumentative,31,6,24,0,1,6,1,5,0,1,0.0,0.7741935483870968,0.032258064516129,0.5047984644913628,2
A1VZSFHTU51JP0,animal,argumentative,35,7,23,0,5,5,5,0,0,5,0.0,0.6571428571428571,0.1428571428571428,0.4855233853006681,2
A1PTH9KTRO06EG,athletes,argumentative,24,9,14,0,1,3,1,2,0,1,0.0,0.5833333333333334,0.0416666666666666,0.4916317991631799,0
A2WGW5Y3ZFBDEC,news,argumentative,17,6,0,1,10,13,13,0,0,13,0.0588235294117647,0.0,0.6470588235294118,0.5275,0
A2WGW5Y3ZFBDEC,screen,argumentative,21,6,1,1,13,22,16,6,0,16,0.0476190476190476,0.0476190476190476,0.6666666666666666,0.493801652892562,1
A2WGW5Y3ZFBDEC,animal,argumentative,24,7,3,0,14,21,16,5,0,16,0.0,0.125,0.5833333333333334,0.4704545454545454,1
A2WGW5Y3ZFBDEC,news,argumentative,17,6,1,0,10,18,12,6,0,12,0.0,0.0588235294117647,0.5882352941176471,0.4883177570093458,0
A2WGW5Y3ZFBDEC,pads,argumentative,23,7,3,1,12,25,16,9,0,16,0.0434782608695652,0.1304347826086956,0.5652173913043478,0.4489311163895487,1
A2WGW5Y3ZFBDEC,stereotype,argumentative,17,4,3,0,10,17,13,4,0,13,0.0,0.1764705882352941,0.5882352941176471,0.582716049382716,0
A2QX3YJXAAHHVV,animal,argumentative,28,7,14,1,6,11,8,3,3,5,0.0357142857142857,0.5,0.25,0.5,0
A2WGW5Y3ZFBDEC,screen,argumentative,20,6,3,1,10,21,14,7,0,14,0.05,0.15,0.55,0.5314009661835749,0
A1E235KE3CSO7H,animal,argumentative,24,7,13,0,4,5,4,1,2,2,0.0,0.5416666666666666,0.1666666666666666,0.5451713395638629,0
A2QX3YJXAAHHVV,news,argumentative,22,6,12,0,4,13,5,8,1,4,0.0,0.5454545454545454,0.1818181818181818,0.4688427299703264,0
A2WGW5Y3ZFBDEC,animal,argumentative,24,7,1,1,15,24,20,4,1,19,0.0416666666666666,0.0416666666666666,0.6666666666666666,0.4524714828897338,1
A2WGW5Y3ZFBDEC,dating,argumentative,23,9,2,1,11,35,23,12,0,23,0.0434782608695652,0.0869565217391304,0.5217391304347826,0.4400871459694989,1
A2WGW5Y3ZFBDEC,dating,argumentative,21,9,1,1,10,23,20,3,0,20,0.0476190476190476,0.0476190476190476,0.5238095238095238,0.4704861111111111,1
A2WGW5Y3ZFBDEC,stereotype,argumentative,21,4,4,1,12,24,20,4,0,20,0.0476190476190476,0.1904761904761904,0.6190476190476191,0.509090909090909,1
A2WGW5Y3ZFBDEC,extremesports,argumentative,14,5,0,1,8,19,17,2,0,17,0.0714285714285714,0.0,0.6428571428571429,0.5618811881188119,1
A2WGW5Y3ZFBDEC,news,argumentative,21,6,2,1,12,26,21,5,1,20,0.0476190476190476,0.0952380952380952,0.6190476190476191,0.448207171314741,1
A2WGW5Y3ZFBDEC,athletes,argumentative,23,9,2,1,11,17,15,2,0,15,0.0434782608695652,0.0869565217391304,0.5217391304347826,0.5,0
A2WGW5Y3ZFBDEC,school,argumentative,23,6,4,1,12,24,19,5,0,19,0.0434782608695652,0.1739130434782608,0.5652173913043478,0.421505376344086,1
A2WGW5Y3ZFBDEC,pads,argumentative,21,7,0,1,13,19,17,2,0,17,0.0476190476190476,0.0,0.6666666666666666,0.4329501915708812,1
APRZ7BR8C0ZMQ,news,argumentative,43,6,34,0,3,3,3,0,0,3,0.0,0.7906976744186046,0.0697674418604651,0.5097690941385435,2
A1PTH9KTRO06EG,news,argumentative,28,6,19,0,3,5,3,2,0,3,0.0,0.6785714285714286,0.1071428571428571,0.400375939849624,2
A3DUPRZSMU9W5R,news,argumentative,30,6,21,0,3,4,3,1,3,0,0.0,0.7,0.1,0.4613899613899614,2
