worker_id,writing_type,prompt_code,Cluster
A1TW2BZRRS874Z,creative,dad,"2,0"
A1TW2BZRRS874Z,creative,isolation,"2,0"
A1TW2BZRRS874Z,creative,mana,"2,0"
A1TW2BZRRS874Z,creative,mattdamon,"2,0"
A1TW2BZRRS874Z,creative,obama,"2,0"
A1TW2BZRRS874Z,creative,pig,"2,0"
A1TW2BZRRS874Z,creative,reincarnation,"2,0"
A1TW2BZRRS874Z,creative,shapeshifter,"2,0"
A1TW2BZRRS874Z,creative,sideeffect,"2,0"
A1VZSFHTU51JP0,argumentative,animal,"2,0"
A1VZSFHTU51JP0,argumentative,athletes,"2,0"
A1VZSFHTU51JP0,argumentative,audiobook,"2,0"
A1VZSFHTU51JP0,argumentative,dating,"2,0"
A1VZSFHTU51JP0,argumentative,extremesports,"2,0"
A1VZSFHTU51JP0,argumentative,news,"2,0"
A1VZSFHTU51JP0,argumentative,pads,"2,0"
A1VZSFHTU51JP0,argumentative,school,"2,0"
A1VZSFHTU51JP0,argumentative,screen,"2,0"
A1VZSFHTU51JP0,argumentative,stereotype,"2,0"
A1VZSFHTU51JP0,creative,bee,2
A1VZSFHTU51JP0,creative,dad,2
A1VZSFHTU51JP0,creative,isolation,2
A1VZSFHTU51JP0,creative,mana,2
A1VZSFHTU51JP0,creative,mattdamon,2
A1VZSFHTU51JP0,creative,obama,2
A1VZSFHTU51JP0,creative,pig,2
A1VZSFHTU51JP0,creative,reincarnation,2
A1VZSFHTU51JP0,creative,shapeshifter,2
A1VZSFHTU51JP0,creative,sideeffect,2
A1WKF2VH7TV0H2,argumentative,pads,0
A1WKF2VH7TV0H2,creative,bee,"2,0"
A1WKF2VH7TV0H2,creative,mana,"2,0"
A1WKF2VH7TV0H2,creative,reincarnation,"2,0"
A1WKF2VH7TV0H2,creative,shapeshifter,"2,0"
A1WKF2VH7TV0H2,creative,sideeffect,"2,0"
A23EWFNNOUS10B,creative,bee,"0,2"
A23EWFNNOUS10B,creative,isolation,"0,2"
A23EWFNNOUS10B,creative,mattdamon,"0,2"
A23EWFNNOUS10B,creative,obama,"0,2"
A23EWFNNOUS10B,creative,pig,"0,2"
A23EWFNNOUS10B,creative,reincarnation,"0,2"
A23EWFNNOUS10B,creative,shapeshifter,"0,2"
A23EWFNNOUS10B,creative,sideeffect,"0,2"
A23KAJRDVCVGOE,argumentative,animal,0
A23KAJRDVCVGOE,argumentative,audiobook,0
A23KAJRDVCVGOE,argumentative,pads,0
A23KAJRDVCVGOE,creative,bee,"1,2,0"
A23KAJRDVCVGOE,creative,dad,"1,2,0"
A23KAJRDVCVGOE,creative,isolation,"1,2,0"
A23KAJRDVCVGOE,creative,mana,"1,2,0"
A23KAJRDVCVGOE,creative,mattdamon,"1,2,0"
A23KAJRDVCVGOE,creative,pig,"1,2,0"
A23KAJRDVCVGOE,creative,reincarnation,"1,2,0"
A23KAJRDVCVGOE,creative,shapeshifter,"1,2,0"
A23KAJRDVCVGOE,creative,sideeffect,"1,2,0"
A2EED3HLTA96CP,argumentative,animal,"0,1"
A2EED3HLTA96CP,argumentative,athletes,"0,1"
A2EED3HLTA96CP,argumentative,audiobook,"0,1"
A2EED3HLTA96CP,argumentative,dating,"0,1"
A2EED3HLTA96CP,argumentative,extremesports,"0,1"
A2EED3HLTA96CP,argumentative,news,"0,1"
A2EED3HLTA96CP,argumentative,pads,"0,1"
A2EED3HLTA96CP,argumentative,school,"0,1"
A2EED3HLTA96CP,argumentative,screen,"0,1"
A2EED3HLTA96CP,argumentative,stereotype,"0,1"
A2EED3HLTA96CP,creative,bee,"2,1,0"
A2EED3HLTA96CP,creative,dad,"2,1,0"
A2EED3HLTA96CP,creative,isolation,"2,1,0"
A2EED3HLTA96CP,creative,mana,"2,1,0"
